abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
unable	không có năng lực, không có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, Đh, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
according	theo, y theo
account	tài khoản, kế toán; tính toán, tính đến
accurate	đúng đắn, chính xác, xác đáng
accurately	đúng đắn, chính xác
accuse	tố cáo, buộc tội, kết tội
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
across	qua, ngang qua
act	hành động, hành vi, cử chỉ, đối xử
action	hành động, hành vi, tác động
active	tích cực hoạt động, nhanh nhẹn
actor	diễn viên
actual	thực tế, có thật
actually	hiện nay, hiện tại
advertisement	quảng cáo
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làm ảnh hưởng, tác động đến
afford	có thể, có đủ khả năng, điều kiện 
afraid	sợ, sợ hãi, hoảng sợtemperature	tạm thời
